k,delta_omega,seed,dt,t_max,plv_window_seconds,r_mean_last,plv_mean_last,anti_mean_last,omega_0,omega_1
-2.0,0.0,1,0.01,120.0,2.0,1.5092919927490817e-13,1.0,0.9999999999999046,1.5875401751674458,1.5875401751674458
-2.0,0.0,2,0.01,120.0,2.0,7.569019370641607e-14,1.0,0.999999999999952,1.4749728705234588,1.4749728705234588
-2.0,0.0,3,0.01,120.0,2.0,8.820317488393176e-15,1.0000000000000002,0.999999999999991,1.4613940567553252,1.4613940567553252
-2.0,0.0,4,0.01,120.0,2.0,6.042918552295186e-14,1.0,0.9999999999999631,1.43801186662969,1.43801186662969
-2.0,0.0,5,0.01,120.0,2.0,7.046057640256451e-14,1.0000000000000002,0.9999999999999537,1.3405282184338807,1.3405282184338807
-2.0,0.2,1,0.01,120.0,2.0,0.050062775059667226,1.000000000000176,0.9681157195708471,1.687540175167446,1.4875401751674457
-2.0,0.2,2,0.01,120.0,2.0,0.05006277505974918,1.0000000000001918,0.9681157195707984,1.574972870523459,1.3749728705234587
-2.0,0.2,3,0.01,120.0,2.0,0.05006277505982677,1.0000000000002094,0.9681157195707419,1.5613940567553253,1.361394056755325
-2.0,0.2,4,0.01,120.0,2.0,0.05006277505987572,1.0000000000002205,0.9681157195707082,1.53801186662969,1.3380118666296898
-2.0,0.2,5,0.01,120.0,2.0,0.05006277505988331,1.0000000000002185,0.9681157195707137,1.4405282184338808,1.2405282184338806
-2.0,0.4,1,0.01,120.0,2.0,0.1005089620050501,1.0000000000005875,0.9359057831511526,1.7875401751674458,1.3875401751674459
-2.0,0.4,2,0.01,120.0,2.0,0.10050896200513239,1.000000000000613,0.9359057831511193,1.6749728705234588,1.2749728705234589
-2.0,0.4,3,0.01,120.0,2.0,0.10050896200522229,1.0000000000006244,0.9359057831510695,1.6613940567553251,1.2613940567553252
-2.0,0.4,4,0.01,120.0,2.0,0.10050896200527007,1.0000000000006737,0.9359057831510295,1.63801186662969,1.23801186662969
-2.0,0.4,5,0.01,120.0,2.0,0.10050896200526589,1.000000000000668,0.9359057831510025,1.5405282184338807,1.1405282184338807
-2.0,0.6,1,0.01,120.0,2.0,0.151757699282375,1.0000000000004656,0.9030133159794593,1.8875401751674459,1.2875401751674458
-2.0,0.6,2,0.01,120.0,2.0,0.1517576992824567,1.000000000000483,0.9030133159794517,1.7749728705234589,1.1749728705234588
-2.0,0.6,3,0.01,120.0,2.0,0.1517576992825461,1.0000000000005926,0.9030133159793203,1.7613940567553252,1.1613940567553251
-2.0,0.6,4,0.01,120.0,2.0,0.1517576992825936,1.0000000000006153,0.9030133159793227,1.73801186662969,1.13801186662969
-2.0,0.6,5,0.01,120.0,2.0,0.15175769928260094,1.0000000000005937,0.9030133159793207,1.6405282184338807,1.0405282184338807
-2.0,0.8,1,0.01,120.0,2.0,0.2043096436890569,1.000000000000249,0.8690101195657062,1.987540175167446,1.1875401751674457
-2.0,0.8,2,0.01,120.0,2.0,0.20430964368915105,1.0000000000002116,0.869010119565691,1.8749728705234587,1.074972870523459
-2.0,0.8,3,0.01,120.0,2.0,0.2043096436892271,1.0000000000003664,0.8690101195656206,1.861394056755325,1.0613940567553253
-2.0,0.8,4,0.01,120.0,2.0,0.20430964368927512,1.0000000000004623,0.8690101195655158,1.83801186662969,1.0380118666296898
-2.0,0.8,5,0.01,120.0,2.0,0.2043096436892834,1.000000000000496,0.8690101195655263,1.7405282184338806,0.9405282184338807
-1.5,0.0,1,0.01,120.0,2.0,2.0777260419195005e-13,1.0,0.9999999999998687,1.5875401751674458,1.5875401751674458
-1.5,0.0,2,0.01,120.0,2.0,1.0354640339309669e-13,1.0,0.9999999999999384,1.4749728705234588,1.4749728705234588
-1.5,0.0,3,0.01,120.0,2.0,8.820609606183151e-15,1.0,0.999999999999991,1.4613940567553252,1.4613940567553252
-1.5,0.0,4,0.01,120.0,2.0,8.67571402382648e-14,1.0,0.999999999999947,1.43801186662969,1.43801186662969
-1.5,0.0,5,0.01,120.0,2.0,8.852147145707534e-14,1.0,0.9999999999999435,1.3405282184338807,1.3405282184338807
-1.5,0.2,1,0.01,120.0,2.0,0.06681597929654848,0.9999999999991115,0.9574319129958178,1.687540175167446,1.4875401751674457
-1.5,0.2,2,0.01,120.0,2.0,0.06681597929666067,0.9999999999991426,0.957431912995741,1.574972870523459,1.3749728705234587
-1.5,0.2,3,0.01,120.0,2.0,0.06681597929676371,0.9999999999991888,0.9574319129956831,1.5613940567553253,1.361394056755325
-1.5,0.2,4,0.01,120.0,2.0,0.06681597929682333,0.9999999999991666,0.9574319129956801,1.53801186662969,1.3380118666296898
-1.5,0.2,5,0.01,120.0,2.0,0.06681597929682742,0.999999999999206,0.9574319129956395,1.4405282184338808,1.2405282184338806
-1.5,0.4,1,0.01,120.0,2.0,0.13455701458209157,1.000000000000447,0.9140777224811161,1.7875401751674458,1.3875401751674459
-1.5,0.4,2,0.01,120.0,2.0,0.1345570145822042,1.0000000000004063,0.9140777224811032,1.6749728705234588,1.2749728705234589
-1.5,0.4,3,0.01,120.0,2.0,0.13455701458230668,1.0000000000004925,0.9140777224809722,1.6613940567553251,1.2613940567553252
-1.5,0.4,4,0.01,120.0,2.0,0.13455701458237376,1.0000000000005103,0.9140777224809898,1.63801186662969,1.23801186662969
-1.5,0.4,5,0.01,120.0,2.0,0.13455701458238992,1.0000000000004596,0.914077722481011,1.5405282184338807,1.1405282184338807
-1.5,0.6,1,0.01,120.0,2.0,0.2043096436890012,1.0000000000002491,0.8690101195657062,1.8875401751674459,1.2875401751674458
-1.5,0.6,2,0.01,120.0,2.0,0.20430964368912574,1.0000000000002112,0.8690101195656907,1.7749728705234589,1.1749728705234588
-1.5,0.6,3,0.01,120.0,2.0,0.20430964368922755,1.0000000000003733,0.8690101195656157,1.7613940567553252,1.1613940567553251
-1.5,0.6,4,0.01,120.0,2.0,0.20430964368928556,1.0000000000004385,0.8690101195655355,1.73801186662969,1.13801186662969
-1.5,0.6,5,0.01,120.0,2.0,0.2043096436892901,1.0000000000004339,0.8690101195655714,1.6405282184338807,1.0405282184338807
-1.5,0.8,1,0.01,120.0,2.0,0.27757416183467404,1.0000000000003637,0.820939152025244,1.987540175167446,1.1875401751674457
-1.5,0.8,2,0.01,120.0,2.0,0.27757416183479766,0.9999999999994649,0.8209391520250429,1.8749728705234587,1.074972870523459
-1.5,0.8,3,0.01,120.0,2.0,0.2775741618349221,0.9999999999999392,0.8209391520248167,1.861394056755325,1.0613940567553253
-1.5,0.8,4,0.01,120.0,2.0,0.2775741618349776,0.9999999999998583,0.8209391520248419,1.83801186662969,1.0380118666296898
-1.5,0.8,5,0.01,120.0,2.0,0.2775741618349692,0.9999999999997914,0.820939152024891,1.7405282184338806,0.9405282184338807
-1.0,0.0,1,0.01,120.0,2.0,3.072479651295671e-13,1.0,0.9999999999998009,1.5875401751674458,1.5875401751674458
-1.0,0.0,2,0.01,120.0,2.0,1.4612521595453887e-13,1.0,0.9999999999999122,1.4749728705234588,1.4749728705234588
-1.0,0.0,3,0.01,120.0,2.0,9.274810654810047e-15,0.9999999999999998,0.9999999999999986,1.4613940567553252,1.4613940567553252
-1.0,0.0,4,0.01,120.0,2.0,1.4432918613341275e-13,1.0,0.9999999999999067,1.43801186662969,1.43801186662969
-1.0,0.0,5,0.01,120.0,2.0,1.7355278817803915e-13,1.0,0.9999999999998938,1.3405282184338807,1.3405282184338807
-1.0,0.2,1,0.01,120.0,2.0,0.10050896200489458,1.0000000000004987,0.9359057831512643,1.687540175167446,1.4875401751674457
-1.0,0.2,2,0.01,120.0,2.0,0.10050896200506948,1.0000000000005735,0.9359057831511652,1.574972870523459,1.3749728705234587
-1.0,0.2,3,0.01,120.0,2.0,0.10050896200522273,1.000000000000601,0.9359057831510524,1.5613940567553253,1.361394056755325
-1.0,0.2,4,0.01,120.0,2.0,0.1005089620053107,1.0000000000006808,0.9359057831510084,1.53801186662969,1.3380118666296898
-1.0,0.2,5,0.01,120.0,2.0,0.10050896200529144,1.000000000000609,0.9359057831510421,1.4405282184338808,1.2405282184338806
-1.0,0.4,1,0.01,120.0,2.0,0.20430964368888996,1.0000000000001716,0.8690101195657629,1.7875401751674458,1.3875401751674459
-1.0,0.4,2,0.01,120.0,2.0,0.20430964368907625,1.0000000000002098,0.8690101195656902,1.6749728705234588,1.2749728705234589
-1.0,0.4,3,0.01,120.0,2.0,0.20430964368924018,1.0000000000003872,0.8690101195656056,1.6613940567553251,1.2613940567553252
-1.0,0.4,4,0.01,120.0,2.0,0.20430964368932453,1.0000000000004292,0.8690101195655426,1.63801186662969,1.23801186662969
-1.0,0.4,5,0.01,120.0,2.0,0.20430964368931212,1.0000000000005,0.8690101195655234,1.5405282184338807,1.1405282184338807
-1.0,0.6,1,0.01,120.0,2.0,0.31622776601646724,1.0000000000001101,0.79516723530111,1.8875401751674459,1.2875401751674458
-1.0,0.6,2,0.01,120.0,2.0,0.3162277660166767,1.0000000000001925,0.7951672353011066,1.7749728705234589,1.1749728705234588
-1.0,0.6,3,0.01,120.0,2.0,0.31622776601684827,1.0000000000000495,0.7951672353007335,1.7613940567553252,1.1613940567553251
-1.0,0.6,4,0.01,120.0,2.0,0.3162277660169516,0.9999999999999523,0.7951672353007548,1.73801186662969,1.13801186662969
-1.0,0.6,5,0.01,120.0,2.0,0.31622776601694164,0.9999999999996999,0.7951672353007604,1.6405282184338807,1.0405282184338807
-1.0,0.8,1,0.01,120.0,2.0,0.4472135954996664,0.999999999999636,0.7048327646993648,1.987540175167446,1.1875401751674457
-1.0,0.8,2,0.01,120.0,2.0,0.447213595499734,0.999999999999636,0.7048327646993648,1.8749728705234587,1.074972870523459
-1.0,0.8,3,0.01,120.0,2.0,0.44721359549945316,1.0000000000001816,0.7048327646995963,1.861394056755325,1.0613940567553253
-1.0,0.8,4,0.01,120.0,2.0,0.44721359550005313,1.0000000000001403,0.7048327646989806,1.83801186662969,1.0380118666296898
-1.0,0.8,5,0.01,120.0,2.0,0.44721359549993206,1.0000000000001803,0.7048327646991047,1.7405282184338806,0.9405282184338807
-0.5,0.0,1,0.01,120.0,2.0,6.056760869387458e-13,1.0,0.99999999999962,1.5875401751674458,1.5875401751674458
-0.5,0.0,2,0.01,120.0,2.0,2.892577588586134e-13,1.0,0.9999999999998189,1.4749728705234588,1.4749728705234588
-0.5,0.0,3,0.01,120.0,2.0,6.741804412178894e-13,1.0,0.999999999999566,1.4613940567553252,1.4613940567553252
-0.5,0.0,4,0.01,120.0,2.0,3.835567395975939e-13,1.0,0.9999999999997498,1.43801186662969,1.43801186662969
-0.5,0.0,5,0.01,120.0,2.0,5.736125212946467e-13,0.9999999999999998,0.9999999999996277,1.3405282184338807,1.3405282184338807
-0.5,0.2,1,0.01,120.0,2.0,0.20430964368887594,1.0000000000001903,0.8690101195657491,1.687540175167446,1.4875401751674457
-0.5,0.2,2,0.01,120.0,2.0,0.20430964368890833,1.0000000000002491,0.8690101195657062,1.574972870523459,1.3749728705234587
-0.5,0.2,3,0.01,120.0,2.0,0.20430964368850246,0.999999999999886,0.8690101195659721,1.5613940567553253,1.361394056755325
-0.5,0.2,4,0.01,120.0,2.0,0.20430964368930346,1.0000000000005413,0.8690101195655721,1.53801186662969,1.3380118666296898
-0.5,0.2,5,0.01,120.0,2.0,0.20430964368914048,1.0000000000004816,0.8690101195657345,1.4405282184338808,1.2405282184338806
-0.5,0.4,1,0.01,120.0,2.0,0.4472135955021339,0.999999999999999,0.7048327646974799,1.7875401751674458,1.3875401751674459
-0.5,0.4,2,0.01,120.0,2.0,0.4472135954980191,0.9999999999998387,0.7048327647006357,1.6749728705234588,1.2749728705234589
-0.5,0.4,3,0.01,120.0,2.0,0.4472135954964838,0.9999999999999992,0.7048327647017512,1.6613940567553251,1.2613940567553252
-0.5,0.4,4,0.01,120.0,2.0,0.4472135954991956,0.9999999999997042,0.70483276469974,1.63801186662969,1.23801186662969
-0.5,0.4,5,0.01,120.0,2.0,0.44721359549921963,1.000000000000102,0.7048327646997951,1.5405282184338807,1.1405282184338807
-0.5,0.6,1,0.01,120.0,2.0,0.6720454194900134,0.976389628765286,0.5005225914068916,1.8875401751674459,1.2875401751674458
-0.5,0.6,2,0.01,120.0,2.0,0.6625781748998307,0.9664509098938048,0.49167255894805145,1.7749728705234589,1.1749728705234588
-0.5,0.6,3,0.01,120.0,2.0,0.6649396487533714,0.9665574612895346,0.4887674489877313,1.7613940567553252,1.1613940567553251
-0.5,0.6,4,0.01,120.0,2.0,0.6619562144297895,0.9664307778812957,0.49243461386833054,1.73801186662969,1.13801186662969
-0.5,0.6,5,0.01,120.0,2.0,0.6648759421897575,0.9665538610371125,0.48884630367121423,1.6405282184338807,1.0405282184338807
-0.5,0.8,1,0.01,120.0,2.0,0.6163930192164818,0.9171057376337363,0.5269772121253585,1.987540175167446,1.1875401751674457
-0.5,0.8,2,0.01,120.0,2.0,0.6704075495839831,0.9297146221889396,0.4936753785277546,1.8749728705234587,1.074972870523459
-0.5,0.8,3,0.01,120.0,2.0,0.6586440891824554,0.9297245006179334,0.5060907351551419,1.861394056755325,1.0613940567553253
-0.5,0.8,4,0.01,120.0,2.0,0.673344555690638,0.9294989605827149,0.4898466259984675,1.83801186662969,1.0380118666296898
-0.5,0.8,5,0.01,120.0,2.0,0.6589573066951901,0.9297365771274495,0.5057921573760457,1.7405282184338806,0.9405282184338807
0.0,0.0,1,0.01,120.0,2.0,0.8069392570102918,1.0000000000006302,0.4022449172091822,1.5875401751674458,1.5875401751674458
0.0,0.0,2,0.01,120.0,2.0,0.8433544871604861,1.0000000000001956,0.36115489922944627,1.4749728705234588,1.4749728705234588
0.0,0.0,3,0.01,120.0,2.0,0.985228937969092,1.0000000000006062,0.10955621457092045,1.4613940567553252,1.4613940567553252
0.0,0.0,4,0.01,120.0,2.0,0.762743442565561,1.0000000000001286,0.4477038409063892,1.43801186662969,1.43801186662969
0.0,0.0,5,0.01,120.0,2.0,0.983795700807659,0.9999999999997004,0.1147620904770859,1.3405282184338807,1.3405282184338807
0.0,0.2,1,0.01,120.0,2.0,0.5756747881992932,0.993346819533226,0.5481411134934481,1.687540175167446,1.4875401751674457
0.0,0.2,2,0.01,120.0,2.0,0.6785188040735787,0.9933468195330644,0.4650268062805975,1.574972870523459,1.3749728705234587
0.0,0.2,3,0.01,120.0,2.0,0.6580667887732572,0.9933468195330377,0.4933428934182866,1.5613940567553253,1.361394056755325
0.0,0.2,4,0.01,120.0,2.0,0.6812472140261153,0.9933468195331931,0.45554426528448483,1.53801186662969,1.3380118666296898
0.0,0.2,5,0.01,120.0,2.0,0.6586655784532143,0.9933468195331597,0.4927569501862361,1.4405282184338808,1.2405282184338806
0.0,0.4,1,0.01,120.0,2.0,0.6300635710459245,0.9735465048026221,0.4996560819553057,1.7875401751674458,1.3875401751674459
0.0,0.4,2,0.01,120.0,2.0,0.619590464624327,0.9735465048025307,0.5269719807203362,1.6749728705234588,1.2749728705234589
0.0,0.4,3,0.01,120.0,2.0,0.5871336529343191,0.973546504802249,0.5419826468754236,1.6613940567553251,1.2613940567553252
0.0,0.4,4,0.01,120.0,2.0,0.6332204706148814,0.9735465048026217,0.517231374237495,1.63801186662969,1.23801186662969
0.0,0.4,5,0.01,120.0,2.0,0.5874517737922635,0.9735465048026218,0.5419564044150403,1.5405282184338807,1.1405282184338807
0.0,0.6,1,0.01,120.0,2.0,0.6721810666356209,0.9410722005993869,0.4655591462083264,1.8875401751674459,1.2875401751674458
0.0,0.6,2,0.01,120.0,2.0,0.6019838017055201,0.9410722005993869,0.5224192101132829,1.7749728705234589,1.1749728705234588
0.0,0.6,3,0.01,120.0,2.0,0.6261570320064193,0.9410722005995922,0.4953113548356611,1.7613940567553252,1.1613940567553251
0.0,0.6,4,0.01,120.0,2.0,0.5985195484260564,0.9410722005993867,0.5287373631007515,1.73801186662969,1.13801186662969
0.0,0.6,5,0.01,120.0,2.0,0.6254599819281983,0.9410722005993869,0.4958975111082527,1.6405282184338807,1.0405282184338807
0.0,0.8,1,0.01,120.0,2.0,0.6419389166188424,0.8966975048158289,0.510319371599431,1.987540175167446,1.1875401751674457
0.0,0.8,2,0.01,120.0,2.0,0.650742442415513,0.8966975048155922,0.4750962191411601,1.8749728705234587,1.074972870523459
0.0,0.8,3,0.01,120.0,2.0,0.6648080601723481,0.8966975048159473,0.47321302474978283,1.861394056755325,1.0613940567553253
0.0,0.8,4,0.01,120.0,2.0,0.6423372216026064,0.8966975048155923,0.47899058661343413,1.83801186662969,1.0380118666296898
0.0,0.8,5,0.01,120.0,2.0,0.6646844832454885,0.8966975048155921,0.47310964202495004,1.7405282184338806,0.9405282184338807
